Id,price
4567,170603.6897070231
5925,121264.44173923325
960,150218.4520693915
3848,132807.88898312216
746,167464.66617129647
868,412607.6099033466
672,129346.16286981212
2471,208744.94408418873
4510,142059.76569264478
8354,221885.46899622597
6393,172962.5637311249
13270,244856.50368694574
5250,268033.698500937
16751,164297.52936119348
11404,128181.74982038369
10588,278954.9125504995
14925,196097.81477281282
6791,240612.58003976592
16097,183110.01994938217
16428,383082.84930485697
6945,380369.0737868543
3190,189538.6314663971
15709,377864.67865444877
13155,200465.0096439086
7675,195925.71151492174
14686,242816.4577606559
609,176614.2633416891
11155,168533.46132496145
10869,183282.0820293679
15742,185348.37167676113
9245,198313.34211425076
3340,205234.66066575612
2359,292860.4164986196
8070,214932.0133521891
13707,139314.9064871746
16079,307838.30597061367
15937,267594.1627377896
14090,187311.64847932567
9008,205569.766446983
16384,191167.85137148984
11657,267829.2601474262
13151,157470.54690690708
8990,185415.5557791722
11857,183486.16893859243
1565,148576.62536546343
8174,89121.64764808452
9247,254601.34036278553
10478,215029.35147619562
15509,155261.3657252349
8306,189392.5602644043
6642,185983.51590313014
7472,229823.91418894104
15989,133223.6730274818
13682,117583.96755431144
163,217176.18708481
7076,187415.82487051171
7478,351748.8127405608
3029,189184.69259423044
1814,144182.91129703936
10057,125821.07309948215
15100,181909.2002883397
12694,218730.30524757234
6291,169653.41797941754
12603,225897.6320442841
3218,233449.58409485596
13456,128290.45697802982
10170,241633.82035328753
4530,173675.41910400995
13329,177838.06156125639
4820,143628.82238034328
10896,179722.7140724891
13416,119368.59057187483
2701,229199.00464758486
11265,336872.8641381766
9189,287511.0221900976
1858,187874.07393879673
14536,243882.80156908056
6199,314071.00786562474
14730,154857.41091785434
7510,251825.09178497375
15505,173480.9861881164
7446,190801.63750059134
14016,186580.19926200833
14113,112405.63093335302
8721,288494.6905726902
6193,283052.5930491963
5717,181707.29511647343
5427,336552.60965785565
9520,462945.3382014493
6869,106785.05658828067
1658,157943.95389863328
6639,214411.05720230928
6283,189557.69792226353
6257,125425.3543908911
15235,175966.90572034198
902,219313.6545182574
8932,217410.2683763817
16469,284207.93920821266
2825,242391.81780309195
6450,432126.85936166806
11366,196436.44459522943
3801,298286.5652379454
11385,215818.04860807385
1079,194486.84077762265
3202,271145.7424915482
676,221088.9260326559
6185,260826.91328544304
7730,172041.3239163007
2573,175967.18168535034
10978,205593.65504343418
